RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS ADP
1,1,Justin Jefferson,MIN,WR1,13,3 out of 5 stars,0
2,1,Christian McCaffrey,SF,RB1,9,4 out of 5 stars,0
3,1,Ja'Marr Chase,CIN,WR2,7,4 out of 5 stars,0
4,1,Travis Kelce,KC,TE1,10,4 out of 5 stars,1
5,1,Nick Chubb,CLE,RB2,5,3 out of 5 stars,6
6,2,Tyreek Hill,MIA,WR3,10,3 out of 5 stars,2
7,2,Bijan Robinson,ATL,RB3,11,4 out of 5 stars,2
8,2,Austin Ekeler,LAC,RB4,5,3 out of 5 stars,-4
9,2,Cooper Kupp,LAR,WR4,10,3 out of 5 stars,-3
10,2,Derrick Henry,TEN,RB5,7,4 out of 5 stars,9
11,3,Stefon Diggs,BUF,WR5,13,2 out of 5 stars,-1
12,3,AJ Brown,PHI,WR6,10,3 out of 5 stars,0
13,3,CeeDee Lamb,DAL,WR7,7,2 out of 5 stars,0
14,3,Jonathan Taylor,IND,RB6,11,3 out of 5 stars,2
15,3,Saquon Barkley,NYG,RB7,13,2 out of 5 stars,-8
16,3,Davante Adams,LV,WR8,13,2 out of 5 stars,-1
17,3,Tony Pollard,DAL,RB8,7,3 out of 5 stars,0
18,3,Amon-Ra St Brown,DET,WR9,9,3 out of 5 stars,2
19,3,Josh Jacobs,LV,RB9,13,3 out of 5 stars,5
20,3,Garrett Wilson,NYJ,WR10,7,3 out of 5 stars,1
21,3,Jaylen Waddle,MIA,WR11,10,3 out of 5 stars,2
22,4,Patrick Mahomes ,KC,QB1,10,3 out of 5 stars,-8
23,4,Chris Olave,NO,WR12,11,4 out of 5 stars,5
24,4,Rhamondre Stevenson,NE,RB10,11,2 out of 5 stars,1
25,4,Josh Allen,BUF,QB2,13,3 out of 5 stars,-7
26,4,Jalen Hurts,PHI,QB3,10,3 out of 5 stars,-4
27,4,Tee Higgins,CIN,WR13,7,4 out of 5 stars,4
28,4,Najee Harris,PIT,RB11,6,3 out of 5 stars,-2
29,4,Amari Cooper,CLE,WR14,5,3 out of 5 stars,14
30,4,Travis Etienne,JAC,RB12,9,2 out of 5 stars,0
31,5,DeVonta Smith,PHI,WR15,10,3 out of 5 stars,-2
32,5,Joe Mixon,CIN,RB13,7,3 out of 5 stars,6
33,5,Deebo Samuel,SF,WR16,9,3 out of 5 stars,6
34,5,Breece Hall,NYJ,RB14,7,3 out of 5 stars,0
35,5,DK Metcalf,SEA,WR17,5,3 out of 5 stars,1
36,5,Mark Andrews,BAL,TE2,13,4 out of 5 stars,-9
37,5,Lamar Jackson,BAL,QB4,13,3 out of 5 stars,-5
38,5,Kenneth Walker I,SEA,RB15,5,2 out of 5 stars,-1
39,5,Aaron Jones,GB,RB16,6,4 out of 5 stars,3
40,5,Joe Burrow,CIN,QB5,7,3 out of 5 stars,-7
41,5,Jahmyr Gibbs,DET,RB17,9,5 out of 5 stars,-6
42,5,Calvin Ridley,JAC,WR18,9,4 out of 5 stars,-2
43,5,DJ Moore,CHI,WR19,13,3 out of 5 stars,14
44,5,Miles Sanders,CAR,RB18,7,4 out of 5 stars,6
45,5,Justin Herbert,LAC,QB6,5,3 out of 5 stars,-4
46,5,Justin Fields,CHI,QB7,13,5 out of 5 stars,-1
47,5,Jerry Jeudy,DEN,WR20,9,2 out of 5 stars,6
48,5,Keenan Allen,LAC,WR21,5,3 out of 5 stars,-2
49,5,Christian Watson,GB,WR22,6,3 out of 5 stars,6
50,5,JK Dobbins,BAL,RB19,13,3 out of 5 stars,2
51,6,Terry McLaurin,WAS,WR23,14,3 out of 5 stars,-3
52,6,Cam Akers,LAR,RB20,10,3 out of 5 stars,6
53,6,DeAndre Hopkins,TEN,WR24,7,3 out of 5 stars,-4
54,6,Dameon Pierce,HOU,RB21,7,3 out of 5 stars,-10
55,6,Alexander Mattison,MIN,RB22,13,5 out of 5 stars,1
56,6,Brandon Aiyuk,SF,WR25,9,3 out of 5 stars,16
57,6,Drake London,ATL,WR26,11,4 out of 5 stars,4
58,6,James Conner,ARI,RB23,14,3 out of 5 stars,6
59,6,Mike Williams,LAC,WR27,5,3 out of 5 stars,3
60,6,Trevor Lawrence,JAC,QB8,9,3 out of 5 stars,-6
61,6,TJ Hockenson,MIN,TE3,13,3 out of 5 stars,-14
62,6,Tyler Lockett,SEA,WR28,5,3 out of 5 stars,11
