Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
1,Justin Jefferson,WR,MIN,13,1,1
2,Ja'Marr Chase,WR,CIN,7,2,1
3,Bijan Robinson,RB,ATL,11,1,1
4,Christian McCaffrey,RB,SF,9,2,1
5,Tyreek Hill,WR,MIA,10,3,2
6,Austin Ekeler,RB,LAC,5,3,1
7,Cooper Kupp,WR,LAR,10,4,2
8,Saquon Barkley,RB,NYG,13,4,1
9,Stefon Diggs,WR,BUF,13,5,2
10,Tony Pollard,RB,DAL,7,5,1
11,Nick Chubb,RB,CLE,5,6,1
12,Travis Kelce,TE,KC,10,1,1
13,CeeDee Lamb,WR,DAL,7,6,2
14,Davante Adams,WR,LV,13,7,2
15,AJ Brown,WR,PHI,10,8,2
16,Amon-Ra St Brown,WR,DET,9,9,2
17,Derrick Henry,RB,TEN,7,7,2
18,Jonathan Taylor,RB,IND,11,8,2
19,Travis Etienne,RB,JAC,9,9,2
20,Garrett Wilson,WR,NYJ,7,10,3
21,Aaron Jones,RB,GB,6,10,2
22,Chris Olave,WR,NO,11,11,3
23,Jaylen Waddle,WR,MIA,10,12,4
24,Breece Hall,RB,NYJ,7,11,2
25,Joe Mixon,RB,CIN,7,12,2
26,Jahmyr Gibbs,RB,DET,9,13,2
27,Rhamondre Stevenson,RB,NE,11,14,2
28,Tee Higgins,WR,CIN,7,13,4
29,Calvin Ridley,WR,JAC,9,14,4
30,Patrick Mahomes,QB,KC,10,1,1
31,Amari Cooper,WR,CLE,5,15,4
32,DeAndre Hopkins,WR,TEN,7,16,4
33,Josh Jacobs,RB,LV,13,15,3
34,DeVonta Smith,WR,PHI,10,17,5
35,Najee Harris,RB,PIT,6,16,3
36,Kenneth WalkerI,RB,SEA,5,17,3
37,Miles Sanders,RB,CAR,7,18,3
38,Terry McLaurin,WR,WSH,14,18,5
39,Jalen Hurts,QB,PHI,10,2,1
40,Deebo Samuel,WR,SF,9,19,5
41,DK Metcalf,WR,SEA,5,20,5
42,Dameon Pierce,RB,HOU,7,19,3
43,Rachaad White,RB,TB,5,20,3
44,Javonte Williams,RB,DEN,9,21,3
45,Josh Allen,QB,BUF,13,3,1
46,Alvin Kamara,RB,NO,11,22,3
47,Brandon Aiyuk,WR,SF,9,21,5
48,Alexander Mattison,RB,MIN,13,23,4
49,Isiah Pacheco,RB,KC,10,24,4
50,JK Dobbins,RB,BAL,13,25,4
51,Diontae Johnson,WR,PIT,6,22,5
52,Joe Burrow,QB,CIN,7,4,1
53,Mark Andrews,TE,BAL,13,2,2
54,Tyler Lockett,WR,SEA,5,23,5
55,TJ Hockenson,TE,MIN,13,3,2
56,DJ Moore,WR,CHI,13,24,5
57,Jerry Jeudy,WR,DEN,9,25,5
58,Darren Waller,TE,NYG,13,4,2
59,Lamar Jackson,QB,BAL,13,5,1
60,Dalvin Cook,RB,MIN,13,26,4
61,James Conner,RB,ARI,14,27,4
62,Cam Akers,RB,LAR,10,28,4
63,Keenan Allen,WR,LAC,5,26,6
64,George Pickens,WR,PIT,6,27,6
65,Trevor Lawrence,QB,JAC,9,6,1
66,Christian Kirk,WR,JAC,9,28,6
67,Christian Watson,WR,GB,6,29,6
68,Mike Williams,WR,LAC,5,30,6
69,Justin Herbert,QB,LAC,5,7,2
70,Justin Fields,QB,CHI,13,8,2
71,Jordan Addison,WR,MIN,13,31,6
72,James Cook,RB,BUF,13,29,5
73,Dak Prescott,QB,DAL,7,9,2
74,D'Andre Swift,RB,PHI,10,30,5
75,Jahan Dotson,WR,WSH,14,32,6
76,Marquise Brown,WR,ARI,14,33,6
77,David Montgomery,RB,DET,9,31,5
78,Devon Achane,RB,FA,0,32,5
79,Brian Robinson,RB,WSH,14,33,5
80,Drake London,WR,ATL,11,34,6
81,Rashaad Penny,RB,PHI,10,34,5
82,Kyle Pitts,TE,ATL,11,5,2
83,Dallas Goedert,TE,PHI,10,6,2
84,Chris Godwin,WR,TB,5,35,7
85,Brandin Cooks,WR,DAL,7,36,7
86,George Kittle,TE,SF,9,7,3
87,Courtland Sutton,WR,DEN,9,37,7
88,Mike Evans,WR,TB,5,38,7
89,Gabe Davis,WR,BUF,13,39,7
90,Michael Pittman,WR,IND,11,40,7
91,Jaxon Smith-Njigba,WR,SEA,5,41,7
92,Michael Pittman,WR,IND,11,42,7
93,AJ Dillon,RB,GB,6,35,6
94,Damien Harris,RB,BUF,13,36,6
95,Khalil Herbert,RB,CHI,13,37,6
96,Jamaal Williams,RB,NO,11,38,6
97,D'Onta Foreman,RB,CHI,13,39,6
98,Zach Charbonnet,RB,SEA,5,40,6
99,Quentin Johnston,WR,LAC,5,43,7
100,Antonio Gibson,RB,WSH,14,41,7
101,Allen Lazard,WR,NYJ,7,44,7
102,Pat Freiermuth,TE,PIT,6,8,3
103,Michael Thomas,WR,NO,11,45,7
104,Deshaun Watson,QB,CLE,5,10,3
105,Elijah Moore,WR,CLE,5,46,7
106,Rondale Moore,WR,ARI,14,47,7
107,Raheem Mostert,RB,MIA,10,42,7
108,Rashod Bateman,WR,BAL,13,48,7
109,Aaron Rodgers,QB,NYJ,7,11,3
110,Kenneth Gainwell,RB,PHI,10,43,7
111,Jerick McKinnon,RB,KC,10,44,7
112,Roschon Johnson,RB,CHI,13,45,7
70,Evan Engram,TE,JAC,9,9,3
114,Gus Edwards,RB,BAL,13,46,7
115,Zay Flowers,WR,BAL,13,49,8
116,Russell Wilson,QB,DEN,9,12,3
117,Skyy Moore,WR,KC,10,50,8
118,Jonathan Mingo,WR,CAR,7,51,8
119,Kyler Murray,QB,ARI,14,13,4
120,Treylon Burks,WR,TEN,7,52,8
121,Alec Pierce,WR,IND,11,53,8
122,Ezekiel Elliott,RB,DAL,7,47,7
123,JuJu Smith-Schuster,WR,NE,11,54,8
124,Samaje Perine,RB,DEN,9,48,8
125,Kareem Hunt,RB,CLE,5,49,8
126,Zamir White,RB,LV,13,50,8
127,Jaylen Warren,RB,PIT,6,51,8
128,Dalton Schultz,TE,HOU,7,10,3
129,Tank Bigsby,RB,JAC,9,52,8
130,Chigoziem Okonkwo,TE,TEN,7,11,3
131,Rashee Rice,WR,KC,10,55,8
132,Odell Beckham,WR,BAL,13,56,8
133,Jeff Wilson,RB,MIA,10,53,8
134,Cole Kmet,TE,CHI,13,12,3
135,Nico Collins,WR,HOU,7,57,8
136,KJ Osborn,WR,MIN,13,58,8
137,Jakobi Meyers,WR,LV,13,59,8
138,Kirk Cousins,QB,MIN,13,14,4
139,Tua Tagovailoa,QB,MIA,10,15,4
140,Geno Smith,QB,SEA,5,16,4
141,Cordarrelle Patterson,RB,ATL,11,54,9
142,Justin Tucker,K,BAL,13,1,1
143,Michael Carter,RB,NYJ,7,55,9
144,Pierre Strong,RB,NE,11,56,9
145,Zach Ertz,TE,ARI,14,13,4
146,Dalton Kincaid,TE,BUF,13,14,4
147,David Njoku,TE,CLE,5,15,4
148,Daniel Jones,QB,NYG,13,17,5
149,Jared Goff,QB,DET,9,18,5
150,Luke Musgrave,TE,GB,6,16,4
151,Sam LaPorta,TE,DET,9,17,4
152,Jerome Ford,RB,CLE,5,57,9
153,Chase Brown,RB,CIN,7,58,9
154,Curtis Samuel,WR,WSH,14,60,9
155,Rashid Shaheed,WR,NO,11,61,9
156,Tank Dell,WR,HOU,7,62,9
157,Michael Gallup,WR,DAL,7,63,9
158,Romeo Doubs,WR,GB,6,64,9
159,Tyjae Spears,RB,TEN,7,59,9
160,Jalin Hyatt,WR,NYG,13,65,9
161,John MetchieI,WR,HOU,7,66,9
162,Tyler Boyd,WR,CIN,7,67,9
163,Van Jefferson,WR,LAR,10,68,9
164,Zay Jones,WR,JAC,9,69,9
165,Keaontay Ingram,RB,ARI,14,60,9
166,Deuce Vaughn,RB,DAL,7,61,9
167,Evan McPherson,K,CIN,7,2,2
168,Ty Chandler,RB,MIN,13,62,9
169,Zach Evans,RB,LAR,10,63,9
170,Chase Claypool,WR,CHI,13,70,10
171,Justyn Ross,WR,KC,10,71,10
172,Chuba Hubbard,RB,CAR,7,64,9
173,Puka Nacua,WR,LAR,10,72,10
174,Marquez Valdes-Scantling,WR,KC,10,73,10
175,Darnell Mooney,WR,CHI,13,74,10
176,Darius Slayton,WR,NYG,13,75,10
177,Jayden Reed,WR,GB,6,76,10
178,Deneric Prince,RB,KC,10,65,9
179,Anthony Richardson,QB,IND,11,19,5
180,Kenny Pickett,QB,PIT,6,20,5
181,Kadarius Toney,WR,KC,10,77,10
182,Isaiah Spiller,RB,LAC,5,66,9
183,Latavius Murray,RB,BUF,13,67,9
184,Matthew Stafford,QB,LAR,10,21,6
185,Jordan Love,QB,GB,6,22,6
186,Kyren Williams,RB,LAR,10,68,9
187,Harrison Butker,K,KC,10,3,2
188,Greg Zuerlein,K,NYJ,7,4,2
189,Tyler Bass,K,BUF,13,5,2
190,Jake Elliott,K,PHI,10,6,2
191,Younghoe Koo,K,ATL,11,7,2
192,Chase Edmonds,RB,TB,5,69,9
193,Evan Hull,RB,IND,11,70,9
194,Dustin Hopkins,K,LAC,5,8,2
195,Zonovan Knight,RB,NYJ,7,71,10
196,Elijah Mitchell,RB,SF,9,72,10
197,Tyler Allgeier,RB,ATL,11,73,10
198,Leonard Fournette,RB,TB,5,74,10
199,Tyrion Davis-Price,RB,SF,9,75,10
200,Israel Abanikanda,RB,NYJ,7,76,10
201,Tyler Conklin,TE,NYJ,7,18,5
202,Irv Smith,TE,CIN,7,19,5
203,Isaiah Likely,TE,BAL,13,20,5
204,Tyler Higbee,TE,LAR,10,21,5
205,Gerald Everett,TE,LAC,5,22,5
206,Noah Fant,TE,SEA,5,23,5
207,Greg Dulcich,TE,DEN,9,24,5
208,Clyde Edwards-Helaire,RB,KC,10,77,10
209,Bryce Young,QB,CAR,7,23,7
210,CJ Stroud,QB,HOU,7,24,7
211,Desmond Ridder,QB,ATL,11,25,7
212,Brock Purdy,QB,SF,9,26,7
213,Derek Carr,QB,NO,11,27,7
214,Mac Jones,QB,NE,11,28,7
215,Logan Thomas,TE,WSH,14,25,6
216,Robert Tonyan,TE,CHI,13,26,6
217,Taysom Hill,TE,NO,11,27,6
218,Michael Mayer,TE,LV,13,28,7
219,Eric Gray,RB,NYG,13,78,10
220,Deon Jackson,RB,IND,11,79,10
221,Jameson Williams,WR,DET,9,78,11
222,Isaiah Hodgins,WR,NYG,13,79,11
223,Adam Thielen,WR,CAR,7,80,11
224,Marvin Mims,WR,DEN,9,81,11
225,Richie James,WR,KC,10,82,11
